ticker_symbol,title,sector
ACB,A-Cap Resources,Energy
ABP,Abacus Property Group,Real Estate
ABU,Abm Resources NL,Materials
ACR,ACRUX Limited,Health Care
ADA,Adacel Technologies,Information Technology
ABC,Adelaide Brighton,Materials
ADX,ADX Energy Limited,Energy
AGL,AGL Energy Limited,Utilities
AGI,Ainsworth Game Tech,Consumer Discretionary
ACL,Alchemia Limited,Health Care
AGS,Alliance Resources,Materials
ADN,Andromeda Metals Limited,Materials
AAR,Anglo Australian,Materials
AGY,Argosy Minerals Limited,Materials
AFA,Asf Group Limited,Financials
AGO,Atlas Iron Limited,Materials
AAC,Australian Agricult,Consumer Staples
AFI,Australian Foundat,Financials
AIZ,Air New Zealand,Industrials
ALF,Australian Leaders,Financials
ALK,Alkane Resources Limited,Materials
ALL,Aristocrat Leisure,Consumer Discretionary
AMC,Amcor Limited,Materials
AMP,AMP Limited,Financials
ANG,Austin Engineering,Industrials
ANL,Amani Gold Limited,Materials
ANN,Ansell Limited,Health Care
ANP,Antisense Therapeut,Health Care
ANZ,ANZ Banking Group Limited,Financials
AON,Apollo Minerals Limited,Materials
APA,APA Group,Utilities
APG,Austpac Resources NL,Materials
API,Australian Pharm,Health Care
APZ,Aspen Group,Real Estate
AQD,Ausquest Limited,Materials
ARE,Argonaut Resources,Materials
ARG,Argo Investments,Financials
ARU,Arafura Resource Limited,Materials
ASB,Austal Limited,Industrials
ASL,Ausdrill Limited,Materials
ASX,ASX Limited,Financials
ATR,Astron Corp Limited,Materials
AUI,Australian United in,Financials
AVH,Avita Medical Limited,Health Care
AVJ,Avjennings Limited,Real Estate
AVL,Aust Vanadium Limited,Materials
AWC,Alumina Limited,Materials
AWE,AWE Limited,Energy
BAR,Barra Resources,Materials
BAU,Bauxite Resource Limited,Materials
BBL,Brisbane Broncos,Consumer Discretionary
BCN,Beacon Minerals,Materials
BDR,Beadell Resource Limited,Materials
BEN,Bendigo and Adelaide,Financials
BHP,BHP Billiton Limited,Materials
BIT,Biotron Limited,Health Care
BKI,BKI Investment Limited,Financials
BKW,Brickworks Limited,Materials
BKY,Berkeley Energia Limited,Energy
BLD,Boral Limited,Materials
BLG,Bluglass Limited,Information Technology
BLY,Boart Longyear,Industrials
BMN,Bannerman Resources,Energy
BNO,Bionomics Limited,Health Care
BOC,Bougainville Copper,Materials
BOL,Boom Logistics,Industrials
BOQ,Bank of Queensland,Financials
BPH,BPH Energy Limited,Health Care
BPT,Beach Energy Limited,Energy
BRC,Brain Resource Limited,Health Care
BRG,Breville Group Limited,Consumer Discretionary
BRL,Bathurst Res Limited,Materials
BRU,Buru Energy,Energy
BSL,Bluescope Steel Limited,Materials
BSM,Bass Metals Limited,Materials
BTT,BT Investment,Financials
BUG,Buderim Group Limited,Consumer Staples
BUL,Blue Energy Limited,Energy
BUY,Bounty Oil & Gas NL,Energy
BWP,BWP Trust,Real Estate
BXB,Brambles Limited,Industrials
CAA,Capral Limited,Materials
CAB,Cabcharge Australia,Industrials
CAI,Calidus Resources,Materials
CAM,Clime Capital,Financials
CAZ,Cazaly Resources,Materials
CBA,Commonwealth Bank,Financials
CCE,Carnegie CLN Energy,Utilities
CCL,Coca-Cola Amatil,Consumer Staples
CCP,Credit Corp Group,Financials
CCV,Cash Converters,Consumer Discretionary
CDD,Cardno Limited,Industrials
CDM,Cadence Capital,Financials
CDU,Cudeco Limited,Materials
CFE,Cape Lambert Res Limited,Materials
CGF,Challenger Limited,Financials
CHC,Charter Hall Group,Real Estate
CHP,Chapmans Limited,Financials
CLH,Collection House,Industrials
CLV,Clover Corporation,Health Care
CLX,Cti Logistics,Industrials
CMP,Compumedics Limited,Health Care
CMW,Cromwell Prop,Real Estate
CND,Clarius Group Limited,Industrials
CNX,Carbon Energy,Energy
COE,Cooper Energy Limited,Energy
COH,Cochlear Limited,Health Care
COI,Comet Ridge Limited,Energy
CPU,Computershare Limited,Information Technology
CSE,Copper Strike Limited,Materials
CSL,CSL Limited,Health Care
CSR,CSR Limited,Materials
CSS,Clean Seas Limited,Consumer Staples
CSV,CSG Limited,Information Technology
CTO,Citigold Corp Limited,Materials
CTP,Central Petroleum,Energy
CTX,Caltex Australia,Energy
CUV,Clinuvel Pharmaceut,Health Care
CVN,Carnarvon Petroleum,Energy
CWN,Crown Resorts Limited,Consumer Discretionary
CWP,Cedar Woods Prop,Real Estate
CXM,Centrex Metals,Materials
CYA,Century Australia,Financials
CYG,Coventry Group,Industrials
DDT,Datadot Technology,Consumer Discretionary
DJW,Djerriwarrh,Financials
DMP,Domino PIZZA Enterpr,Consumer Discretionary
DOW,Downer Edi Limited,Industrials
DUI,Diversified United,Financials
DWS,DWS Limited,Information Technology
DXS,Dexus,Real Estate
DYL,Deep Yellow Limited,Energy
EHL,Emeco Holdings,Industrials
ELK,ELK Petroleum,Energy
ELX,ELLEX Medical Lasers,Health Care
EMR,Emerald Res NL,Materials
EOS,Electro Optic SYS,Industrials
EQT,Equity HL,Financials
ERA,Energy Resources 'A',Energy
ERM,Emmerson Resources,Materials
ESI,ENV Clean Tech Limited,Industrials
